name,description,link_url,image_url,unique_id,manufacturer_id
Stonewall Striae Arya LED Mirror,"Display the unique beauty of Spanish Alabaster or our proprietary Striae Arya stone composite panels in a modern wall application. Low-profile ADA sconce options in Alabaster or the recycled marble composition
read more...",https://www.studiomlighting.com/product/indoor-lighting/led-mirror/stonewall-striae-arya-led-mirror/SM24800ARYBK,https://www.studiomlighting.com/products_main_image/SM24800ARYBK.jpg,SM24800ARYBK,1113
Stonewall Striae Arya LED Wall Decor,"Display the unique beauty of Spanish Alabaster or our proprietary Striae Arya stone composite panels in a modern wall application. Low-profile ADA sconce options in Alabaster or the recycled marble composition
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/stonewall-striae-arya-led-wall-decor/SM24801ARYBK,https://www.studiomlighting.com/products_main_image/SM24801ARYBK.jpg,SM24801ARYBK,1113
Stonewall LED Wall Sconce,"Display the unique beauty of Spanish Alabaster or our proprietary Striae Arya stone composite panels in a modern wall application. Low-profile ADA sconce options in Alabaster or the recycled marble composition
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/stonewall-led-wall-sconce/SM24802ARYBK,https://www.studiomlighting.com/products_main_image/SM24802ARYBK.jpg,SM24802ARYBK,1113
Megalith - Stone Megalith 5-Light Linear Pendant - Striae Arya,"A monument to the beauty of stone, the Megalith collection is constructed using a robust iron stem that branches off to support various stone panels back lit by globes of white cased glass. Choose from stone pa
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/megalith-5-light-linear-pendant--striae-arya/SM24825ARYBBZ,https://www.studiomlighting.com/products_main_image/SM24825ARYBBZ.jpg,SM24825ARYBBZ,1113
Megalith - Stone Megalith 5-Light Vertical Pendant - Striae Arya,"A monument to the beauty of stone, the Megalith collection is constructed using a robust iron stem that branches off to support various stone panels back lit by globes of white cased glass. Choose from stone pa
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/megalith-5-light-vertical-pendant--striae-arya/SM24827ARYBBZ,https://www.studiomlighting.com/products_main_image/SM24827ARYBBZ.jpg,SM24827ARYBBZ,1113
Megalith - Stone Megalith 5-Light Pendant Striae Arya,"A monument to the beauty of stone, the Megalith collection is constructed using a robust iron stem that branches off to support various stone panels back lit by globes of white cased glass. Choose from stone pa
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/megalith-5-light-pendant-striae-arya/SM24815ARYBBZ,https://www.studiomlighting.com/products_main_image/SM24815ARYBBZ.jpg,SM24815ARYBBZ,1113
Megalith - Stone Megalith Stem Hung Pendant Striae Arya,"A monument to the beauty of stone, the Megalith collection is constructed using a robust iron stem that branches off to support various stone panels back lit by globes of white cased glass. Choose from stone pa
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/megalith-stem-hung-pendant-striae-arya/SM24811ARYBBZ,https://www.studiomlighting.com/products_main_image/SM24811ARYBBZ.jpg,SM24811ARYBBZ,1113
Megalith - Stone Megalith LED Wall Sconce - Striae Arya,"A monument to the beauty of stone, the Megalith collection is constructed using a robust iron stem that branches off to support various stone panels back lit by globes of white cased glass. Choose from stone pa
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/megalith-led-wall-sconce--striae-arya/SM24810ARYBBZ,https://www.studiomlighting.com/products_main_image/SM24810ARYBBZ.jpg,SM24810ARYBBZ,1113
Megalith - Stone Megalith Cord Hung Pendant Striae Arya,"A monument to the beauty of stone, the Megalith collection is constructed using a robust iron stem that branches off to support various stone panels back lit by globes of white cased glass. Choose from stone pa
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/megalith-cord-hung-pendant-striae-arya/SM24812ARYBBZ,https://www.studiomlighting.com/products_main_image/SM24812ARYBBZ.jpg,SM24812ARYBBZ,1113
Crux 1-Light Outdoor Sconce,"Crossing planes of ribbed glass panels are asymmetrically arranged along a rod, framed in thin Matte Black iron. The tubular bulbs suspended from various heights are obscured by the glass texture, creating a sh
read more...",https://www.studiomlighting.com/product/outdoor-lighting/outdoor-wall-mount/crux-1-light-outdoor-sconce/SM21321CRBK,https://www.studiomlighting.com/products_main_image/SM21321CRBK.jpg,SM21321CRBK,1113
Crux 5-Light Pendant,"Crossing planes of ribbed glass panels are asymmetrically arranged along a rod, framed in thin Matte Black iron. The tubular bulbs suspended from various heights are obscured by the glass texture, creating a sh
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/crux-5-light-pendant/SM21325CRBK,https://www.studiomlighting.com/products_main_image/SM21325CRBK.jpg,SM21325CRBK,1113
Crux 1-Light Sconce,"Crossing planes of ribbed glass panels are asymmetrically arranged along a rod, framed in thin Matte Black iron. The tubular bulbs suspended from various heights are obscured by the glass texture, creating a sh
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/crux-1-light-sconce/SM21320CRBK,https://www.studiomlighting.com/products_main_image/SM21320CRBK.jpg,SM21320CRBK,1113
Peony 10-Light LED Pendant,"An organic cascading design, the Peony series is constructed of a freeform structure with figurative blossoms in a dazzling display of crystal. Two hand blown dishes, cloudy at their center, encase an array of
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/peony-10-light-led-pendant/SM23875FTCLPN,https://www.studiomlighting.com/products_main_image/SM23875FTCLPN.jpg,SM23875FTCLPN,1113
Peony 4-Light LED Wall Sconce,"An organic cascading design, the Peony series is constructed of a freeform structure with figurative blossoms in a dazzling display of crystal. Two hand blown dishes, cloudy at their center, encase an array of
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/peony-4-light-led-wall-sconce/SM23873FTCLPN,https://www.studiomlighting.com/products_main_image/SM23873FTCLPN.jpg,SM23873FTCLPN,1113
Peony 14-Light LED Pendant,"An organic cascading design, the Peony series is constructed of a freeform structure with figurative blossoms in a dazzling display of crystal. Two hand blown dishes, cloudy at their center, encase an array of
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/peony-14-light-led-pendant/SM23877FTCLPN,https://www.studiomlighting.com/products_main_image/SM23877FTCLPN.jpg,SM23877FTCLPN,1113
Peony 8-Light LED Pendant,"An organic cascading design, the Peony series is constructed of a freeform structure with figurative blossoms in a dazzling display of crystal. Two hand blown dishes, cloudy at their center, encase an array of
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/peony-8-light-led-pendant/SM23874FTCLPN,https://www.studiomlighting.com/products_main_image/SM23874FTCLPN.jpg,SM23874FTCLPN,1113
Lillet 1-Light LED Wall Sconce,"Stunning LED arrangements recreate the splendor of Art Nouveau. The biophilic forms that sparkle in this distinctive structure are made of feather-like handcrafted steel and crystal. These crystal sculptures ar
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/lillet-1-light-led-wall-sconce/SM23810BCPN,https://www.studiomlighting.com/products_main_image/SM23810BCPN.jpg,SM23810BCPN,1113
Lillet 3-Light LED Pendant,"Stunning LED arrangements recreate the splendor of Art Nouveau. The biophilic forms that sparkle in this distinctive structure are made of feather-like handcrafted steel and crystal. These crystal sculptures ar
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/lillet-3-light-led-pendant/SM23813BCPN,https://www.studiomlighting.com/products_main_image/SM23813BCPN.jpg,SM23813BCPN,1113
Lillet 10-Light LED Linear Pendant,"Stunning LED arrangements recreate the splendor of Art Nouveau. The biophilic forms that sparkle in this distinctive structure are made of feather-like handcrafted steel and crystal. These crystal sculptures ar
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/lillet-10-light-led-linear-pendant/SM23819BCPN,https://www.studiomlighting.com/products_main_image/SM23819BCPN.jpg,SM23819BCPN,1113
Alina 3-Light LED Wall Sconce,"Seemingly limber arms in French Gold or Black are dotted with glowing white glass spheres illuminated by dedicated LED light sources. As if a bangle with pearls was transformed into a lighting fixture that wh
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/alina-3-light-led-wall-sconce/SM24830BK,https://www.studiomlighting.com/products_main_image/SM24830BK.jpg,SM24830BK,1113
Alina 3-Light LED Pendant,"Seemingly limber arms in French Gold or Black are dotted with glowing white glass spheres illuminated by dedicated LED light sources. As if a bangle with pearls was transformed into a lighting fixture that wh
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/alina-3-light-led-pendant/SM24833BK,https://www.studiomlighting.com/products_main_image/SM24833BK.jpg,SM24833BK,1113
Alina 6-Light LED Pendant,"Seemingly limber arms in French Gold or Black are dotted with glowing white glass spheres illuminated by dedicated LED light sources. As if a bangle with pearls was transformed into a lighting fixture that wh
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/alina-6-light-led-pendant/SM24836BK,https://www.studiomlighting.com/products_main_image/SM24836BK.jpg,SM24836BK,1113
Cavalier 2-Light Pendant,"Leather swathes are stitched at their edges and brought together, bound by brass finials, to form shades above brass sockets. Elongated extensions of Naturally Aged Brass tubing are enhanced by smooth, Tobacco
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/cavalier-2-light-pendant/SM81802NAB,https://www.studiomlighting.com/products_main_image/SM81802NAB.jpg,SM81802NAB,1113
Cavalier 1-Light Wall Sconce,"Leather swathes are stitched at their edges and brought together, bound by brass finials, to form shades above brass sockets. Elongated extensions of Naturally Aged Brass tubing are enhanced by smooth, Tobacco
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/cavalier-1-light-wall-sconce/SM81800NAB,https://www.studiomlighting.com/products_main_image/SM81800NAB.jpg,SM81800NAB,1113
Cavalier 4-Light Pendant with LED Bulbs,"Leather swathes are stitched at their edges and brought together, bound by brass finials, to form shades above brass sockets. Elongated extensions of Naturally Aged Brass tubing are enhanced by smooth, Tobacco
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/cavalier-4-light-pendant-with-led-bulbs/SM81804NAB,https://www.studiomlighting.com/products_main_image/SM81804NAB.jpg,SM81804NAB,1113
"Cavalier 16"" Pendant","Leather swathes are stitched at their edges and brought together, bound by brass finials, to form shades above brass sockets. Elongated extensions of Naturally Aged Brass tubing are enhanced by smooth, Tobacco
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/cavalier-16-pendant/SM81806NAB,https://www.studiomlighting.com/products_main_image/SM81806NAB.jpg,SM81806NAB,1113
"Cavalier 11"" Pendant","Leather swathes are stitched at their edges and brought together, bound by brass finials, to form shades above brass sockets. Elongated extensions of Naturally Aged Brass tubing are enhanced by smooth, Tobacco
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/cavalier-11-pendant/SM81801NAB,https://www.studiomlighting.com/products_main_image/SM81801NAB.jpg,SM81801NAB,1113
Crescendo 5-Light Pendant,"Cube framed fixtures of steel and wood have been transformed with the remarkable form of the Crescendo series. Pairing this innovative design with luxurious finishing, the solid wood cage is done in a dark Weng
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/crescendo-5-light-pendant/SM23805WEPN,https://www.studiomlighting.com/products_main_image/SM23805WEPN.jpg,SM23805WEPN,1113
Crescendo 2-Light Wall Sconce,"Cube framed fixtures of steel and wood have been transformed with the remarkable form of the Crescendo series. Pairing this innovative design with luxurious finishing, the solid wood cage is done in a dark Weng
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/crescendo-2-light-wall-sconce/SM23800WEPN,https://www.studiomlighting.com/products_main_image/SM23800WEPN.jpg,SM23800WEPN,1113
Vesta LED Desk Lamp,"Symbolic of the hearth and home, the Vesta collection draws inspiration from the Roman goddess represented by the fire of her temple. Large diameters of shallow, inverted vessels disperse indirect light upward
read more...",https://www.studiomlighting.com/product/indoor-lighting/floor-desk-table-lamps/vesta-led-desk-lamp/SM81859BKFG,https://www.studiomlighting.com/products_main_image/SM81859BKFG.jpg,SM81859BKFG,1113
"Vesta 24"" LED Pendant/Semi-Flush","Symbolic of the hearth and home, the Vesta collection draws inspiration from the Roman goddess represented by the fire of her temple. Large diameters of shallow, inverted vessels disperse indirect light upward
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/vesta-24-led-pendant-semi-flush/SM81854BKFG,https://www.studiomlighting.com/products_main_image/SM81854BKFG.jpg,SM81854BKFG,1113
"Vesta 8"" LED Flush Mount/Wall Sconce","Symbolic of the hearth and home, the Vesta collection draws inspiration from the Roman goddess represented by the fire of her temple. Large diameters of shallow, inverted vessels disperse indirect light upward
read more...",https://www.studiomlighting.com/product/indoor-lighting/flush-mounts/vesta-8-led-flush-mount-wall-sconce/SM81850BKFG,https://www.studiomlighting.com/products_main_image/SM81850BKFG.jpg,SM81850BKFG,1113
"Vesta 36"" LED Pendant/Semi-Flush","Symbolic of the hearth and home, the Vesta collection draws inspiration from the Roman goddess represented by the fire of her temple. Large diameters of shallow, inverted vessels disperse indirect light upward
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/vesta-36-led-pendant-semi-flush/SM81856BKFG,https://www.studiomlighting.com/products_main_image/SM81856BKFG.jpg,SM81856BKFG,1113
Manhattan 5-Light Chandelier,"The timeless chandelier form is transformed in an elegantly stripped down update. Black drum shades lined with Studio M's iconic Metallic Silver Pattern are paired with simple cut glass bobeches, conveying refi
read more...",https://www.studiomlighting.com/product/indoor-lighting/chandeliers/manhattan-5-light-chandelier/SM23755BTPS,https://www.studiomlighting.com/products_main_image/SM23755BTPS.jpg,SM23755BTPS,1113
Manhattan 4-Light Chandelier,"The timeless chandelier form is transformed in an elegantly stripped down update. Black drum shades lined with Studio M's iconic Metallic Silver Pattern are paired with simple cut glass bobeches, conveying refi
read more...",https://www.studiomlighting.com/product/indoor-lighting/chandeliers/manhattan-4-light-chandelier/SM23754BTPS,https://www.studiomlighting.com/products_main_image/SM23754BTPS.jpg,SM23754BTPS,1113
Manhattan 1-Light Wall Sconce,"The timeless chandelier form is transformed in an elegantly stripped down update. Black drum shades lined with Studio M's iconic Metallic Silver Pattern are paired with simple cut glass bobeches, conveying refi
read more...",https://www.studiomlighting.com/product/indoor-lighting/indoor-wall-lighting-lanterns/manhattan-1-light-wall-sconce/SM23751BTPS,https://www.studiomlighting.com/products_main_image/SM23751BTPS.jpg,SM23751BTPS,1113
Chips 5-Light Vertical Pendant - Matte White,"Thinly curved panels of perforated metal shades are illuminated by LED globes of Satin White glass at various positions along the span of the suspended chip-like sculptures. The expansiveness of the panels are
read more...",https://www.studiomlighting.com/product/indoor-lighting/pendants/chips-5-light-vertical-pendant--matte-white/SM32303SWMW,https://www.studiomlighting.com/products_main_image/SM32303SWMW.jpg,SM32303SWMW,1113
